"sample";"year";"plot";"sp";"lambda"
1;2017;1;"BEMA";147,212960196489
1;2017;1;"CETE";4577,67121966522
1;2017;1;"CHFU";252,827252867728
1;2017;1;"CHMI";319,901860860646
1;2017;1;"HOMA";20,2636222181192
1;2017;1;"LEMA";123,161005971346
1;2017;1;"LYTR";NA
1;2017;1;"MEEL";NA
1;2017;1;"MESU";517,955311876367
1;2017;1;"PAIN";22,2452527879609
1;2017;1;"PLCO";31,3562914715555
1;2017;1;"POMA";117,646302826683
1;2017;1;"POMO";NA
1;2017;1;"PUPA";2139,31434437936
1;2017;1;"SASO";52,9709313372916
1;2017;1;"SCLA";33,9402537789721
1;2017;1;"SOAS";NA
1;2017;1;"SPRU";NA
1;2017;1;"SUSP";NA
1;2017;2;"BEMA";147,212960196489
1;2017;2;"CETE";4577,67121966522
1;2017;2;"CHFU";252,827252867728
1;2017;2;"CHMI";319,901860860646
1;2017;2;"HOMA";20,2636222181192
1;2017;2;"LEMA";123,161005971346
1;2017;2;"LYTR";NA
1;2017;2;"MEEL";41,0567157206775
1;2017;2;"MESU";517,955311876367
1;2017;2;"PAIN";22,2452527879609
1;2017;2;"PLCO";NA
1;2017;2;"POMA";117,646302826683
1;2017;2;"POMO";106,722810942797
1;2017;2;"PUPA";2139,31434437936
1;2017;2;"SASO";52,9709313372916
1;2017;2;"SCLA";33,9402537789721
1;2017;2;"SOAS";NA
1;2017;2;"SPRU";NA
1;2017;2;"SUSP";NA
1;2017;3;"BEMA";147,212960196489
1;2017;3;"CETE";4577,67121966522
1;2017;3;"CHFU";252,827252867728
1;2017;3;"CHMI";319,901860860646
1;2017;3;"HOMA";20,2636222181192
1;2017;3;"LEMA";123,161005971346
1;2017;3;"LYTR";NA
1;2017;3;"MEEL";NA
1;2017;3;"MESU";517,955311876367
1;2017;3;"PAIN";22,2452527879609
1;2017;3;"PLCO";31,3562914715555
1;2017;3;"POMA";117,646302826683
1;2017;3;"POMO";106,722810942797
1;2017;3;"PUPA";2139,31434437936
1;2017;3;"SASO";52,9709313372916
1;2017;3;"SCLA";33,9402537789721
1;2017;3;"SOAS";NA
1;2017;3;"SPRU";NA
1;2017;3;"SUSP";NA
1;2017;4;"BEMA";NA
1;2017;4;"CETE";NA
1;2017;4;"CHFU";252,827252867728
1;2017;4;"CHMI";NA
1;2017;4;"HOMA";20,2636222181192
1;2017;4;"LEMA";123,161005971346
1;2017;4;"LYTR";1183,59710511368
1;2017;4;"MEEL";NA
1;2017;4;"MESU";NA
1;2017;4;"PAIN";22,2452527879609
1;2017;4;"PLCO";31,3562914715555
1;2017;4;"POMA";117,646302826683
1;2017;4;"POMO";106,722810942797
1;2017;4;"PUPA";2139,31434437936
1;2017;4;"SASO";52,9709313372916
1;2017;4;"SCLA";NA
1;2017;4;"SOAS";NA
1;2017;4;"SPRU";2245,47743699493
1;2017;4;"SUSP";NA
1;2017;5;"BEMA";147,212960196489
1;2017;5;"CETE";4577,67121966522
1;2017;5;"CHFU";252,827252867728
1;2017;5;"CHMI";NA
1;2017;5;"HOMA";20,2636222181192
1;2017;5;"LEMA";123,161005971346
1;2017;5;"LYTR";1183,59710511368
1;2017;5;"MEEL";NA
1;2017;5;"MESU";NA
1;2017;5;"PAIN";22,2452527879609
1;2017;5;"PLCO";31,3562914715555
1;2017;5;"POMA";117,646302826683
1;2017;5;"POMO";NA
1;2017;5;"PUPA";2139,31434437936
1;2017;5;"SASO";52,9709313372916
1;2017;5;"SCLA";NA
1;2017;5;"SOAS";NA
1;2017;5;"SPRU";2245,47743699493
1;2017;5;"SUSP";NA
1;2017;6;"BEMA";NA
1;2017;6;"CETE";NA
1;2017;6;"CHFU";252,827252867728
1;2017;6;"CHMI";NA
1;2017;6;"HOMA";20,2636222181192
1;2017;6;"LEMA";123,161005971346
1;2017;6;"LYTR";1183,59710511368
1;2017;6;"MEEL";NA
1;2017;6;"MESU";NA
1;2017;6;"PAIN";22,2452527879609
1;2017;6;"PLCO";31,3562914715555
1;2017;6;"POMA";117,646302826683
1;2017;6;"POMO";NA
1;2017;6;"PUPA";2139,31434437936
1;2017;6;"SASO";52,9709313372916
1;2017;6;"SCLA";NA
1;2017;6;"SOAS";NA
1;2017;6;"SPRU";NA
1;2017;6;"SUSP";NA
1;2017;7;"BEMA";NA
1;2017;7;"CETE";NA
1;2017;7;"CHFU";NA
1;2017;7;"CHMI";NA
1;2017;7;"HOMA";NA
1;2017;7;"LEMA";NA
1;2017;7;"LYTR";1183,59710511368
1;2017;7;"MEEL";NA
1;2017;7;"MESU";NA
1;2017;7;"PAIN";NA
1;2017;7;"PLCO";NA
1;2017;7;"POMA";NA
1;2017;7;"POMO";NA
1;2017;7;"PUPA";NA
1;2017;7;"SASO";NA
1;2017;7;"SCLA";NA
1;2017;7;"SOAS";NA
1;2017;7;"SPRU";NA
1;2017;7;"SUSP";NA
1;2017;8;"BEMA";NA
1;2017;8;"CETE";NA
1;2017;8;"CHFU";NA
1;2017;8;"CHMI";NA
1;2017;8;"HOMA";NA
1;2017;8;"LEMA";NA
1;2017;8;"LYTR";1183,59710511368
1;2017;8;"MEEL";NA
1;2017;8;"MESU";NA
1;2017;8;"PAIN";NA
1;2017;8;"PLCO";NA
1;2017;8;"POMA";117,646302826683
1;2017;8;"POMO";NA
1;2017;8;"PUPA";2139,31434437936
1;2017;8;"SASO";NA
1;2017;8;"SCLA";NA
1;2017;8;"SOAS";NA
1;2017;8;"SPRU";NA
1;2017;8;"SUSP";NA
1;2017;9;"BEMA";NA
1;2017;9;"CETE";NA
1;2017;9;"CHFU";NA
1;2017;9;"CHMI";NA
1;2017;9;"HOMA";NA
1;2017;9;"LEMA";NA
1;2017;9;"LYTR";NA
1;2017;9;"MEEL";NA
1;2017;9;"MESU";NA
1;2017;9;"PAIN";NA
1;2017;9;"PLCO";NA
1;2017;9;"POMA";NA
1;2017;9;"POMO";NA
1;2017;9;"PUPA";NA
1;2017;9;"SASO";NA
1;2017;9;"SCLA";NA
1;2017;9;"SOAS";NA
1;2017;9;"SPRU";NA
1;2017;9;"SUSP";NA
1;2018;1;"BEMA";37,7090996297923
1;2018;1;"CETE";2258,00948905089
1;2018;1;"CHFU";NA
1;2018;1;"CHMI";NA
1;2018;1;"HOMA";21,4074622836837
1;2018;1;"LEMA";78,1371079907468
1;2018;1;"LYTR";NA
1;2018;1;"MEEL";NA
1;2018;1;"MESU";NA
1;2018;1;"PAIN";NA
1;2018;1;"PLCO";NA
1;2018;1;"POMA";278,23184460806
1;2018;1;"POMO";NA
1;2018;1;"PUPA";2059,88016931624
1;2018;1;"SASO";95,4751271705692
1;2018;1;"SCLA";NA
1;2018;1;"SOAS";NA
1;2018;1;"SPRU";NA
1;2018;1;"SUSP";NA
1;2018;2;"BEMA";37,7090996297923
1;2018;2;"CETE";2258,00948905089
1;2018;2;"CHFU";NA
1;2018;2;"CHMI";NA
1;2018;2;"HOMA";21,4074622836837
1;2018;2;"LEMA";78,1371079907468
1;2018;2;"LYTR";NA
1;2018;2;"MEEL";NA
1;2018;2;"MESU";NA
1;2018;2;"PAIN";7,1434868406117
1;2018;2;"PLCO";NA
1;2018;2;"POMA";278,23184460806
1;2018;2;"POMO";NA
1;2018;2;"PUPA";2059,88016931624
1;2018;2;"SASO";95,4751271705692
1;2018;2;"SCLA";NA
1;2018;2;"SOAS";NA
1;2018;2;"SPRU";NA
1;2018;2;"SUSP";NA
1;2018;3;"BEMA";37,7090996297923
1;2018;3;"CETE";2258,00948905089
1;2018;3;"CHFU";NA
1;2018;3;"CHMI";376,21783078366
1;2018;3;"HOMA";21,4074622836837
1;2018;3;"LEMA";78,1371079907468
1;2018;3;"LYTR";NA
1;2018;3;"MEEL";NA
1;2018;3;"MESU";NA
1;2018;3;"PAIN";7,1434868406117
1;2018;3;"PLCO";NA
1;2018;3;"POMA";278,23184460806
1;2018;3;"POMO";NA
1;2018;3;"PUPA";2059,88016931624
1;2018;3;"SASO";95,4751271705692
1;2018;3;"SCLA";NA
1;2018;3;"SOAS";NA
1;2018;3;"SPRU";NA
1;2018;3;"SUSP";NA
1;2018;4;"BEMA";37,7090996297923
1;2018;4;"CETE";NA
1;2018;4;"CHFU";NA
1;2018;4;"CHMI";NA
1;2018;4;"HOMA";21,4074622836837
1;2018;4;"LEMA";NA
1;2018;4;"LYTR";295,732634396791
1;2018;4;"MEEL";NA
1;2018;4;"MESU";NA
1;2018;4;"PAIN";7,1434868406117
1;2018;4;"PLCO";NA
1;2018;4;"POMA";278,23184460806
1;2018;4;"POMO";NA
1;2018;4;"PUPA";2059,88016931624
1;2018;4;"SASO";95,4751271705692
1;2018;4;"SCLA";NA
1;2018;4;"SOAS";NA
1;2018;4;"SPRU";NA
1;2018;4;"SUSP";NA
1;2018;5;"BEMA";37,7090996297923
1;2018;5;"CETE";NA
1;2018;5;"CHFU";NA
1;2018;5;"CHMI";NA
1;2018;5;"HOMA";21,4074622836837
1;2018;5;"LEMA";NA
1;2018;5;"LYTR";NA
1;2018;5;"MEEL";NA
1;2018;5;"MESU";NA
1;2018;5;"PAIN";NA
1;2018;5;"PLCO";NA
1;2018;5;"POMA";278,23184460806
1;2018;5;"POMO";NA
1;2018;5;"PUPA";2059,88016931624
1;2018;5;"SASO";95,4751271705692
1;2018;5;"SCLA";NA
1;2018;5;"SOAS";NA
1;2018;5;"SPRU";NA
1;2018;5;"SUSP";NA
1;2018;6;"BEMA";NA
1;2018;6;"CETE";NA
1;2018;6;"CHFU";NA
1;2018;6;"CHMI";NA
1;2018;6;"HOMA";21,4074622836837
1;2018;6;"LEMA";NA
1;2018;6;"LYTR";NA
1;2018;6;"MEEL";NA
1;2018;6;"MESU";NA
1;2018;6;"PAIN";7,1434868406117
1;2018;6;"PLCO";NA
1;2018;6;"POMA";278,23184460806
1;2018;6;"POMO";NA
1;2018;6;"PUPA";2059,88016931624
1;2018;6;"SASO";95,4751271705692
1;2018;6;"SCLA";NA
1;2018;6;"SOAS";NA
1;2018;6;"SPRU";NA
1;2018;6;"SUSP";NA
1;2018;7;"BEMA";NA
1;2018;7;"CETE";NA
1;2018;7;"CHFU";NA
1;2018;7;"CHMI";NA
1;2018;7;"HOMA";NA
