"year";"plot";"focal";"neighbour";"magnitude"
2015;1;"POMO";"POMO";0,198969412335551
2015;1;"POMO";"PUPA";NA
2015;1;"POMO";"SASO";0,00974869130102665
2015;1;"POMO";"SCLA";-0,00941110165133817
2015;1;"POMO";"SOAS";NA
2015;1;"POMO";"SPRU";0,344008807466877
2015;1;"POMO";"SUSP";NA
2015;1;"PUPA";"BEMA";NA
2015;1;"PUPA";"CETE";NA
2015;1;"PUPA";"CHFU";0,257379748495229
2015;1;"PUPA";"CHMI";NA
2015;1;"PUPA";"HOMA";0,539506549307753
2015;1;"PUPA";"LEMA";0,487277299100023
2015;1;"PUPA";"LYTR";NA
2015;1;"PUPA";"MEEL";NA
2015;1;"PUPA";"MESU";NA
2015;1;"PUPA";"PAIN";0,0240382859412645
2015;1;"PUPA";"PLCO";0,339883293629499
2015;1;"PUPA";"POMA";0,162642684052664
2015;1;"PUPA";"POMO";0,0921124488510808
2015;1;"PUPA";"PUPA";0,0907845636997874
2015;1;"PUPA";"SASO";0,109063922516401
2015;1;"PUPA";"SCLA";-0,422018379099915
2015;1;"PUPA";"SOAS";NA
2015;1;"PUPA";"SPRU";NA
2015;1;"PUPA";"SUSP";NA
2015;1;"SASO";"BEMA";NA
2015;1;"SASO";"CETE";-0,0467135301224692
2015;1;"SASO";"CHFU";0,0370960666536833
2015;1;"SASO";"CHMI";NA
2015;1;"SASO";"HOMA";0,345000882456723
2015;1;"SASO";"LEMA";0,0360138841490394
2015;1;"SASO";"LYTR";NA
2015;1;"SASO";"MEEL";NA
2015;1;"SASO";"MESU";0,162306710579596
2015;1;"SASO";"PAIN";-0,0404630168845661
2015;1;"SASO";"PLCO";-0,0696180079478694
2015;1;"SASO";"POMA";-0,0256238461049884
2015;1;"SASO";"POMO";0,123704808039035
2015;1;"SASO";"PUPA";-0,103041852777535
2015;1;"SASO";"SASO";0,176023814589886
2015;1;"SASO";"SCLA";-0,153113720935634
2015;1;"SASO";"SOAS";NA
2015;1;"SASO";"SPRU";NA
2015;1;"SASO";"SUSP";NA
2015;1;"SCLA";"BEMA";NA
2015;1;"SCLA";"CETE";0,0144305830325205
