"year";"n.plots";"plots";"richness"
"2018";"2";"8_9";0
"2019";"2";"8_9";16
"2015";"3";"1_2_3";16
"2016";"3";"1_2_3";11
"2017";"3";"1_2_3";15
"2018";"3";"1_2_3";14
"2019";"3";"1_2_3";14
"2015";"3";"1_2_4";19
"2016";"3";"1_2_4";14
"2017";"3";"1_2_4";17
"2018";"3";"1_2_4";15
"2019";"3";"1_2_4";16
"2015";"3";"1_2_5";16
"2016";"3";"1_2_5";14
"2017";"3";"1_2_5";17
"2018";"3";"1_2_5";13
"2019";"3";"1_2_5";14
"2015";"3";"1_2_6";17
"2016";"3";"1_2_6";15
"2017";"3";"1_2_6";17
"2018";"3";"1_2_6";13
"2019";"3";"1_2_6";16
"2015";"3";"1_2_7";18
"2016";"3";"1_2_7";17
"2017";"3";"1_2_7";16
"2018";"3";"1_2_7";13
"2019";"3";"1_2_7";17
"2015";"3";"1_2_8";18
"2016";"3";"1_2_8";17
"2017";"3";"1_2_8";16
"2018";"3";"1_2_8";13
"2019";"3";"1_2_8";17
"2015";"3";"1_2_9";18
"2016";"3";"1_2_9";17
"2017";"3";"1_2_9";15
"2018";"3";"1_2_9";13
"2019";"3";"1_2_9";17
"2015";"3";"1_3_4";19
"2016";"3";"1_3_4";14
"2017";"3";"1_3_4";16
"2018";"3";"1_3_4";11
"2019";"3";"1_3_4";13
"2015";"3";"1_3_5";16
"2016";"3";"1_3_5";14
"2017";"3";"1_3_5";16
"2018";"3";"1_3_5";9
"2019";"3";"1_3_5";12
"2015";"3";"1_3_6";17
"2016";"3";"1_3_6";15
"2017";"3";"1_3_6";16
"2018";"3";"1_3_6";9
"2019";"3";"1_3_6";12
"2015";"3";"1_3_7";18
"2016";"3";"1_3_7";17
"2017";"3";"1_3_7";15
"2018";"3";"1_3_7";9
"2019";"3";"1_3_7";17
"2015";"3";"1_3_8";18
"2016";"3";"1_3_8";17
"2017";"3";"1_3_8";15
"2018";"3";"1_3_8";9
"2019";"3";"1_3_8";16
"2015";"3";"1_3_9";18
"2016";"3";"1_3_9";17
"2017";"3";"1_3_9";14
"2018";"3";"1_3_9";9
"2019";"3";"1_3_9";14
"2015";"3";"1_4_5";19
"2016";"3";"1_4_5";14
"2017";"3";"1_4_5";16
"2018";"3";"1_4_5";10
"2019";"3";"1_4_5";15
"2015";"3";"1_4_6";19
"2016";"3";"1_4_6";15
"2017";"3";"1_4_6";16
"2018";"3";"1_4_6";10
"2019";"3";"1_4_6";13
"2015";"3";"1_4_7";19
"2016";"3";"1_4_7";18
"2017";"3";"1_4_7";16
"2018";"3";"1_4_7";10
"2019";"3";"1_4_7";17
"2015";"3";"1_4_8";19
"2016";"3";"1_4_8";18
"2017";"3";"1_4_8";16
"2018";"3";"1_4_8";10
"2019";"3";"1_4_8";16
"2015";"3";"1_4_9";19
"2016";"3";"1_4_9";18
"2017";"3";"1_4_9";16
"2018";"3";"1_4_9";10
"2019";"3";"1_4_9";16
"2015";"3";"1_5_6";17
"2016";"3";"1_5_6";14
"2017";"3";"1_5_6";16
"2018";"3";"1_5_6";8
"2019";"3";"1_5_6";13
"2015";"3";"1_5_7";18
"2016";"3";"1_5_7";17
"2017";"3";"1_5_7";16
"2018";"3";"1_5_7";8
"2019";"3";"1_5_7";17
"2015";"3";"1_5_8";18
"2016";"3";"1_5_8";17
"2017";"3";"1_5_8";16
"2018";"3";"1_5_8";8
"2019";"3";"1_5_8";16
"2015";"3";"1_5_9";18
"2016";"3";"1_5_9";17
"2017";"3";"1_5_9";16
"2018";"3";"1_5_9";8
"2019";"3";"1_5_9";15
"2015";"3";"1_6_7";18
"2016";"3";"1_6_7";17
"2017";"3";"1_6_7";16
"2018";"3";"1_6_7";8
"2019";"3";"1_6_7";17
"2015";"3";"1_6_8";18
"2016";"3";"1_6_8";17
"2017";"3";"1_6_8";16
"2018";"3";"1_6_8";8
"2019";"3";"1_6_8";16
"2015";"3";"1_6_9";18
"2016";"3";"1_6_9";17
"2017";"3";"1_6_9";16
"2018";"3";"1_6_9";8
"2019";"3";"1_6_9";15
"2015";"3";"1_7_8";18
"2016";"3";"1_7_8";16
"2017";"3";"1_7_8";15
"2018";"3";"1_7_8";8
"2019";"3";"1_7_8";17
"2015";"3";"1_7_9";18
"2016";"3";"1_7_9";17
"2017";"3";"1_7_9";15
"2018";"3";"1_7_9";8
"2019";"3";"1_7_9";18
"2015";"3";"1_8_9";18
"2016";"3";"1_8_9";17
"2017";"3";"1_8_9";15
"2018";"3";"1_8_9";8
"2019";"3";"1_8_9";17
"2015";"3";"2_3_4";19
"2016";"3";"2_3_4";14
"2017";"3";"2_3_4";17
"2018";"3";"2_3_4";16
"2019";"3";"2_3_4";16
"2015";"3";"2_3_5";16
"2016";"3";"2_3_5";14
"2017";"3";"2_3_5";17
"2018";"3";"2_3_5";14
"2019";"3";"2_3_5";14
"2015";"3";"2_3_6";17
"2016";"3";"2_3_6";15
"2017";"3";"2_3_6";17
"2018";"3";"2_3_6";14
"2019";"3";"2_3_6";16
"2015";"3";"2_3_7";18
"2016";"3";"2_3_7";17
"2017";"3";"2_3_7";16
"2018";"3";"2_3_7";14
"2019";"3";"2_3_7";17
"2015";"3";"2_3_8";18
"2016";"3";"2_3_8";17
"2017";"3";"2_3_8";16
"2018";"3";"2_3_8";14
"2019";"3";"2_3_8";17
"2015";"3";"2_3_9";18
"2016";"3";"2_3_9";17
"2017";"3";"2_3_9";15
"2018";"3";"2_3_9";14
"2019";"3";"2_3_9";17
"2015";"3";"2_4_5";19
"2016";"3";"2_4_5";14
"2017";"3";"2_4_5";17
"2018";"3";"2_4_5";15
"2019";"3";"2_4_5";16
"2015";"3";"2_4_6";19
"2016";"3";"2_4_6";15
"2017";"3";"2_4_6";17
"2018";"3";"2_4_6";15
"2019";"3";"2_4_6";16
"2015";"3";"2_4_7";19
"2016";"3";"2_4_7";18
"2017";"3";"2_4_7";17
"2018";"3";"2_4_7";15
"2019";"3";"2_4_7";17
"2015";"3";"2_4_8";19
"2016";"3";"2_4_8";18
"2017";"3";"2_4_8";17
"2018";"3";"2_4_8";15
"2019";"3";"2_4_8";17
"2015";"3";"2_4_9";19
"2016";"3";"2_4_9";18
"2017";"3";"2_4_9";17
"2018";"3";"2_4_9";15
"2019";"3";"2_4_9";18
"2015";"3";"2_5_6";17
"2016";"3";"2_5_6";15
"2017";"3";"2_5_6";17
"2018";"3";"2_5_6";13
"2019";"3";"2_5_6";16
"2015";"3";"2_5_7";18
"2016";"3";"2_5_7";18
"2017";"3";"2_5_7";17
"2018";"3";"2_5_7";13
"2019";"3";"2_5_7";17
"2015";"3";"2_5_8";18
"2016";"3";"2_5_8";18
"2017";"3";"2_5_8";17
"2018";"3";"2_5_8";13
"2019";"3";"2_5_8";17
"2015";"3";"2_5_9";18
"2016";"3";"2_5_9";18
"2017";"3";"2_5_9";17
"2018";"3";"2_5_9";13
"2019";"3";"2_5_9";17
"2015";"3";"2_6_7";18
"2016";"3";"2_6_7";18
"2017";"3";"2_6_7";17
"2018";"3";"2_6_7";13
"2019";"3";"2_6_7";17
"2015";"3";"2_6_8";18
"2016";"3";"2_6_8";18
"2017";"3";"2_6_8";17
"2018";"3";"2_6_8";13
"2019";"3";"2_6_8";17
"2015";"3";"2_6_9";18
"2016";"3";"2_6_9";18
"2017";"3";"2_6_9";17
"2018";"3";"2_6_9";13
"2019";"3";"2_6_9";18
"2015";"3";"2_7_8";18
"2016";"3";"2_7_8";17
"2017";"3";"2_7_8";15
"2018";"3";"2_7_8";13
"2019";"3";"2_7_8";17
"2015";"3";"2_7_9";18
"2016";"3";"2_7_9";18
"2017";"3";"2_7_9";15
"2018";"3";"2_7_9";13
"2019";"3";"2_7_9";18
"2015";"3";"2_8_9";18
"2016";"3";"2_8_9";18
"2017";"3";"2_8_9";15
"2018";"3";"2_8_9";13
"2019";"3";"2_8_9";18
"2015";"3";"3_4_5";19
"2016";"3";"3_4_5";14
"2017";"3";"3_4_5";16
"2018";"3";"3_4_5";11
"2019";"3";"3_4_5";15
"2015";"3";"3_4_6";19
"2016";"3";"3_4_6";15
"2017";"3";"3_4_6";16
"2018";"3";"3_4_6";11
"2019";"3";"3_4_6";12
"2015";"3";"3_4_7";19
"2016";"3";"3_4_7";18
"2017";"3";"3_4_7";16
"2018";"3";"3_4_7";11
"2019";"3";"3_4_7";16
"2015";"3";"3_4_8";19
"2016";"3";"3_4_8";18
"2017";"3";"3_4_8";16
"2018";"3";"3_4_8";11
"2019";"3";"3_4_8";15
"2015";"3";"3_4_9";19
"2016";"3";"3_4_9";18
"2017";"3";"3_4_9";16
"2018";"3";"3_4_9";11
"2019";"3";"3_4_9";15
"2015";"3";"3_5_6";17
"2016";"3";"3_5_6";15
"2017";"3";"3_5_6";16
"2018";"3";"3_5_6";9
"2019";"3";"3_5_6";14
"2015";"3";"3_5_7";18
"2016";"3";"3_5_7";18
"2017";"3";"3_5_7";16
"2018";"3";"3_5_7";9
"2019";"3";"3_5_7";17
"2015";"3";"3_5_8";18
"2016";"3";"3_5_8";18
"2017";"3";"3_5_8";16
"2018";"3";"3_5_8";9
"2019";"3";"3_5_8";16
"2015";"3";"3_5_9";18
"2016";"3";"3_5_9";18
"2017";"3";"3_5_9";16
"2018";"3";"3_5_9";9
"2019";"3";"3_5_9";16
"2015";"3";"3_6_7";18
"2016";"3";"3_6_7";18
"2017";"3";"3_6_7";16
"2018";"3";"3_6_7";9
"2019";"3";"3_6_7";16
"2015";"3";"3_6_8";18
"2016";"3";"3_6_8";18
"2017";"3";"3_6_8";16
"2018";"3";"3_6_8";9
"2019";"3";"3_6_8";15
"2015";"3";"3_6_9";18
"2016";"3";"3_6_9";18
"2017";"3";"3_6_9";16
"2018";"3";"3_6_9";9
"2019";"3";"3_6_9";15
"2015";"3";"3_7_8";15
"2016";"3";"3_7_8";17
"2017";"3";"3_7_8";15
"2018";"3";"3_7_8";9
"2019";"3";"3_7_8";16
"2015";"3";"3_7_9";15
"2016";"3";"3_7_9";18
"2017";"3";"3_7_9";15
"2018";"3";"3_7_9";9
"2019";"3";"3_7_9";17
"2015";"3";"3_8_9";15
"2016";"3";"3_8_9";18
"2017";"3";"3_8_9";15
"2018";"3";"3_8_9";9
"2019";"3";"3_8_9";16
"2015";"3";"4_5_6";19
"2016";"3";"4_5_6";15
"2017";"3";"4_5_6";13
"2018";"3";"4_5_6";8
"2019";"3";"4_5_6";15
"2015";"3";"4_5_7";19
"2016";"3";"4_5_7";18
"2017";"3";"4_5_7";13
"2018";"3";"4_5_7";8
"2019";"3";"4_5_7";17
"2015";"3";"4_5_8";19
"2016";"3";"4_5_8";18
"2017";"3";"4_5_8";13
"2018";"3";"4_5_8";8
"2019";"3";"4_5_8";16
"2015";"3";"4_5_9";19
"2016";"3";"4_5_9";18
"2017";"3";"4_5_9";13
"2018";"3";"4_5_9";8
"2019";"3";"4_5_9";17
"2015";"3";"4_6_7";19
"2016";"3";"4_6_7";18
"2017";"3";"4_6_7";12
"2018";"3";"4_6_7";8
"2019";"3";"4_6_7";16
"2015";"3";"4_6_8";19
"2016";"3";"4_6_8";18
"2017";"3";"4_6_8";12
"2018";"3";"4_6_8";8
"2019";"3";"4_6_8";15
"2015";"3";"4_6_9";19
"2016";"3";"4_6_9";18
"2017";"3";"4_6_9";12
"2018";"3";"4_6_9";8
"2019";"3";"4_6_9";15
"2015";"3";"4_7_8";19
"2016";"3";"4_7_8";18
"2017";"3";"4_7_8";12
"2018";"3";"4_7_8";8
"2019";"3";"4_7_8";16
"2015";"3";"4_7_9";19
"2016";"3";"4_7_9";19
"2017";"3";"4_7_9";12
"2018";"3";"4_7_9";8
"2019";"3";"4_7_9";17
"2015";"3";"4_8_9";19
"2016";"3";"4_8_9";19
"2017";"3";"4_8_9";12
"2018";"3";"4_8_9";8
"2019";"3";"4_8_9";16
"2015";"3";"5_6_7";18
"2016";"3";"5_6_7";17
"2017";"3";"5_6_7";12
"2018";"3";"5_6_7";6
"2019";"3";"5_6_7";17
"2015";"3";"5_6_8";18
"2016";"3";"5_6_8";17
"2017";"3";"5_6_8";12
"2018";"3";"5_6_8";6
"2019";"3";"5_6_8";16
"2015";"3";"5_6_9";18
"2016";"3";"5_6_9";17
"2017";"3";"5_6_9";12
"2018";"3";"5_6_9";6
"2019";"3";"5_6_9";16
"2015";"3";"5_7_8";18
