"fit.type";"year";"n.plots";"plots";"num.sp"
"heterogeneous";2016;2;"6_8";14
"heterogeneous";2017;2;"6_8";9
"heterogeneous";2018;2;"6_8";0
"heterogeneous";2019;2;"6_8";12
"heterogeneous";2015;2;"6_9";11
"heterogeneous";2016;2;"6_9";12
"heterogeneous";2017;2;"6_9";9
"heterogeneous";2018;2;"6_9";0
"heterogeneous";2019;2;"6_9";10
"heterogeneous";2015;2;"7_8";4
"heterogeneous";2016;2;"7_8";14
"heterogeneous";2017;2;"7_8";2
"heterogeneous";2018;2;"7_8";0
"heterogeneous";2019;2;"7_8";15
"heterogeneous";2015;2;"7_9";2
"heterogeneous";2016;2;"7_9";14
"heterogeneous";2017;2;"7_9";0
"heterogeneous";2018;2;"7_9";0
"heterogeneous";2019;2;"7_9";15
"heterogeneous";2015;2;"8_9";4
"heterogeneous";2016;2;"8_9";13
"heterogeneous";2017;2;"8_9";2
"heterogeneous";2018;2;"8_9";0
"heterogeneous";2019;2;"8_9";12
"heterogeneous";2015;3;"1_2_3";16
"heterogeneous";2016;3;"1_2_3";9
"heterogeneous";2017;3;"1_2_3";14
"heterogeneous";2018;3;"1_2_3";8
"heterogeneous";2019;3;"1_2_3";12
"heterogeneous";2015;3;"1_2_4";16
"heterogeneous";2016;3;"1_2_4";10
"heterogeneous";2017;3;"1_2_4";15
"heterogeneous";2018;3;"1_2_4";8
"heterogeneous";2019;3;"1_2_4";14
"heterogeneous";2015;3;"1_2_5";16
"heterogeneous";2016;3;"1_2_5";11
"heterogeneous";2017;3;"1_2_5";14
"heterogeneous";2018;3;"1_2_5";8
"heterogeneous";2019;3;"1_2_5";12
"heterogeneous";2015;3;"1_2_6";16
"heterogeneous";2016;3;"1_2_6";12
"heterogeneous";2017;3;"1_2_6";14
"heterogeneous";2018;3;"1_2_6";8
"heterogeneous";2019;3;"1_2_6";13
"heterogeneous";2015;3;"1_2_7";16
"heterogeneous";2016;3;"1_2_7";13
"heterogeneous";2017;3;"1_2_7";12
"heterogeneous";2018;3;"1_2_7";8
"heterogeneous";2019;3;"1_2_7";17
"heterogeneous";2015;3;"1_2_8";16
"heterogeneous";2016;3;"1_2_8";13
"heterogeneous";2017;3;"1_2_8";12
"heterogeneous";2018;3;"1_2_8";8
"heterogeneous";2019;3;"1_2_8";16
"heterogeneous";2015;3;"1_2_9";16
"heterogeneous";2016;3;"1_2_9";12
"heterogeneous";2017;3;"1_2_9";12
"heterogeneous";2018;3;"1_2_9";8
"heterogeneous";2019;3;"1_2_9";16
"heterogeneous";2015;3;"1_3_4";16
"heterogeneous";2016;3;"1_3_4";10
"heterogeneous";2017;3;"1_3_4";16
"heterogeneous";2018;3;"1_3_4";7
"heterogeneous";2019;3;"1_3_4";9
"heterogeneous";2015;3;"1_3_5";16
"heterogeneous";2016;3;"1_3_5";11
"heterogeneous";2017;3;"1_3_5";15
"heterogeneous";2018;3;"1_3_5";7
"heterogeneous";2019;3;"1_3_5";7
"heterogeneous";2015;3;"1_3_6";16
"heterogeneous";2016;3;"1_3_6";12
"heterogeneous";2017;3;"1_3_6";15
"heterogeneous";2018;3;"1_3_6";7
"heterogeneous";2019;3;"1_3_6";8
"heterogeneous";2015;3;"1_3_7";16
"heterogeneous";2016;3;"1_3_7";13
"heterogeneous";2017;3;"1_3_7";14
"heterogeneous";2018;3;"1_3_7";7
"heterogeneous";2019;3;"1_3_7";16
"heterogeneous";2015;3;"1_3_8";16
"heterogeneous";2016;3;"1_3_8";13
"heterogeneous";2017;3;"1_3_8";14
"heterogeneous";2018;3;"1_3_8";7
"heterogeneous";2019;3;"1_3_8";13
"heterogeneous";2015;3;"1_3_9";16
"heterogeneous";2016;3;"1_3_9";12
"heterogeneous";2017;3;"1_3_9";14
"heterogeneous";2018;3;"1_3_9";7
"heterogeneous";2019;3;"1_3_9";11
"heterogeneous";2015;3;"1_4_5";16
"heterogeneous";2016;3;"1_4_5";11
"heterogeneous";2017;3;"1_4_5";12
"heterogeneous";2018;3;"1_4_5";7
"heterogeneous";2019;3;"1_4_5";9
"heterogeneous";2015;3;"1_4_6";16
"heterogeneous";2016;3;"1_4_6";12
"heterogeneous";2017;3;"1_4_6";12
"heterogeneous";2018;3;"1_4_6";6
"heterogeneous";2019;3;"1_4_6";9
"heterogeneous";2015;3;"1_4_7";16
"heterogeneous";2016;3;"1_4_7";14
"heterogeneous";2017;3;"1_4_7";12
"heterogeneous";2018;3;"1_4_7";6
"heterogeneous";2019;3;"1_4_7";16
"heterogeneous";2015;3;"1_4_8";16
"heterogeneous";2016;3;"1_4_8";14
"heterogeneous";2017;3;"1_4_8";12
