"year";"plot";"sp";"pairwise";"indirect";"dominant";"transient"
2016;8;"LEMA";FALSE;TRUE;FALSE;FALSE
2017;8;"LEMA";FALSE;FALSE;FALSE;FALSE
2018;8;"LEMA";FALSE;FALSE;FALSE;FALSE
2019;8;"LEMA";TRUE;TRUE;FALSE;FALSE
2015;9;"LEMA";FALSE;FALSE;FALSE;FALSE
2016;9;"LEMA";TRUE;TRUE;FALSE;FALSE
2017;9;"LEMA";FALSE;FALSE;FALSE;FALSE
2018;9;"LEMA";FALSE;FALSE;FALSE;FALSE
2019;9;"LEMA";FALSE;TRUE;FALSE;FALSE
2015;1;"LYTR";FALSE;FALSE;FALSE;FALSE
2016;1;"LYTR";FALSE;FALSE;FALSE;FALSE
2017;1;"LYTR";FALSE;FALSE;FALSE;FALSE
2018;1;"LYTR";FALSE;FALSE;FALSE;FALSE
2019;1;"LYTR";FALSE;FALSE;FALSE;FALSE
2015;2;"LYTR";FALSE;FALSE;FALSE;FALSE
2016;2;"LYTR";FALSE;FALSE;FALSE;FALSE
2017;2;"LYTR";FALSE;FALSE;FALSE;FALSE
2018;2;"LYTR";FALSE;FALSE;FALSE;FALSE
2019;2;"LYTR";FALSE;FALSE;FALSE;FALSE
2015;3;"LYTR";FALSE;FALSE;FALSE;FALSE
2016;3;"LYTR";FALSE;FALSE;FALSE;FALSE
2017;3;"LYTR";FALSE;FALSE;FALSE;FALSE
2018;3;"LYTR";FALSE;FALSE;FALSE;FALSE
2019;3;"LYTR";FALSE;FALSE;FALSE;FALSE
2015;4;"LYTR";FALSE;FALSE;FALSE;TRUE
2016;4;"LYTR";FALSE;FALSE;FALSE;TRUE
2017;4;"LYTR";TRUE;TRUE;FALSE;FALSE
2018;4;"LYTR";FALSE;FALSE;TRUE;FALSE
2019;4;"LYTR";FALSE;FALSE;FALSE;FALSE
2015;5;"LYTR";FALSE;FALSE;FALSE;FALSE
2016;5;"LYTR";FALSE;FALSE;FALSE;TRUE
2017;5;"LYTR";FALSE;FALSE;TRUE;FALSE
2018;5;"LYTR";FALSE;FALSE;FALSE;FALSE
2019;5;"LYTR";FALSE;FALSE;FALSE;FALSE
2015;6;"LYTR";FALSE;FALSE;FALSE;FALSE
2016;6;"LYTR";FALSE;FALSE;FALSE;TRUE
2017;6;"LYTR";TRUE;TRUE;FALSE;FALSE
2018;6;"LYTR";FALSE;FALSE;FALSE;FALSE
2019;6;"LYTR";FALSE;FALSE;FALSE;FALSE
2015;7;"LYTR";FALSE;FALSE;FALSE;TRUE
2016;7;"LYTR";FALSE;FALSE;FALSE;TRUE
2017;7;"LYTR";FALSE;FALSE;FALSE;TRUE
2018;7;"LYTR";FALSE;FALSE;FALSE;FALSE
2019;7;"LYTR";FALSE;FALSE;FALSE;FALSE
2015;8;"LYTR";FALSE;FALSE;FALSE;TRUE
2016;8;"LYTR";FALSE;FALSE;FALSE;TRUE
2017;8;"LYTR";FALSE;FALSE;FALSE;TRUE
2018;8;"LYTR";FALSE;FALSE;FALSE;FALSE
2019;8;"LYTR";FALSE;FALSE;FALSE;FALSE
2015;9;"LYTR";FALSE;FALSE;FALSE;TRUE
2016;9;"LYTR";FALSE;FALSE;FALSE;TRUE
2017;9;"LYTR";FALSE;FALSE;FALSE;FALSE
2018;9;"LYTR";FALSE;FALSE;FALSE;FALSE
2019;9;"LYTR";FALSE;FALSE;FALSE;FALSE
2015;1;"MEEL";TRUE;TRUE;FALSE;FALSE
